Fecha,Dia,Visitas,Paginas,Solicitudes,Trafico
10/1/2020,1-Oct-20,0,0,0,0
10/2/2020,2-Oct-20,0,0,0,0
10/3/2020,3-Oct-20,0,0,0,0
10/4/2020,4-Oct-20,0,0,0,0
10/5/2020,5-Oct-20,0,0,0,0
10/6/2020,6-Oct-20,0,0,0,0
10/7/2020,7-Oct-20,0,0,0,0
10/8/2020,8-Oct-20,0,0,0,0
10/9/2020,9-Oct-20,0,0,0,0
10/10/2020,10-Oct-20,0,0,0,0
10/11/2020,11-Oct-20,0,0,0,0
10/12/2020,12-Oct-20,0,0,0,0
10/13/2020,13-Oct-20,0,0,0,0
10/14/2020,14-Oct-20,0,0,0,0
10/15/2020,15-Oct-20,0,0,0,0
10/16/2020,16-Oct-20,0,0,0,0
10/17/2020,17-Oct-20,0,0,0,0
10/18/2020,18-Oct-20,0,0,0,0
10/19/2020,19-Oct-20,0,0,0,0
10/20/2020,20-Oct-20,0,0,0,0
10/21/2020,21-Oct-20,39,87,690,147.24
10/22/2020,22-Oct-20,42,81,574,113.55
10/23/2020,23-Oct-20,37,49,350,187.7
10/24/2020,24-Oct-20,10,16,131,55.88
10/25/2020,25-Oct-20,24,32,353,91.19
10/26/2020,26-Oct-20,33,55,442,181.95
10/27/2020,27-Oct-20,80,108,597,202.55
10/28/2020,28-Oct-20,58,77,579,135.46
10/29/2020,29-Oct-20,42,60,315,131.9
10/30/2020,30-Oct-20,39,52,269,83.57
10/31/2020,31-Oct-20,24,30,181,61.08
11/1/2020,1-Nov-20,18,22,136,152.19
11/2/2020,2-Nov-20,41,68,600,185.24
11/3/2020,3-Nov-20,73,100,669,271.09
11/4/2020,4-Nov-20,42,76,441,219.54
11/5/2020,5-Nov-20,38,66,379,296.1
11/6/2020,6-Nov-20,35,70,564,228.27
11/7/2020,7-Nov-20,17,28,155,64.65
11/8/2020,8-Nov-20,15,23,190,125.56
11/9/2020,9-Nov-20,36,49,392,184.26
11/10/2020,10-Nov-20,51,75,519,201.28
11/11/2020,11-Nov-20,31,35,253,110.71
11/12/2020,12-Nov-20,14,26,155,87.87
11/13/2020,13-Nov-20,30,48,322,130.23
11/14/2020,14-Nov-20,20,31,171,68.04
11/15/2020,15-Nov-20,21,38,265,124.06
11/16/2020,16-Nov-20,35,55,393,239.48
11/17/2020,17-Nov-20,39,56,415,224.04
11/18/2020,18-Nov-20,19,22,144,71.95
11/19/2020,19-Nov-20,34,74,584,304.94
11/20/2020,20-Nov-20,25,44,298,201.99
11/21/2020,21-Nov-20,10,12,79,100.98
11/22/2020,22-Nov-20,12,15,99,59.56
11/23/2020,23-Nov-20,26,52,448,140.85
11/24/2020,24-Nov-20,23,37,339,287.15
11/25/2020,25-Nov-20,26,42,329,493.59
11/26/2020,26-Nov-20,32,46,344,149.75
11/27/2020,27-Nov-20,24,50,311,97.88
11/28/2020,28-Nov-20,12,15,120,59.53
11/29/2020,29-Nov-20,20,37,262,218.49
11/30/2020,30-Nov-20,42,60,415,127.42
12/1/2020,1-Dec-20,18,26,193,202.99
12/2/2020,2-Dec-20,30,43,408,94.41
12/3/2020,3-Dec-20,14,17,146,154.62
12/4/2020,4-Dec-20,14,20,140,93.69
12/5/2020,5-Dec-20,6,16,152,88.46
12/6/2020,6-Dec-20,10,14,99,34.99
12/7/2020,7-Dec-20,16,17,175,72.2
12/8/2020,8-Dec-20,16,29,187,85.51
12/9/2020,9-Dec-20,31,58,532,202.32
12/10/2020,10-Dec-20,25,49,406,141.51
12/11/2020,11-Dec-20,17,30,207,111.68
12/12/2020,12-Dec-20,18,46,278,152.71
12/13/2020,13-Dec-20,13,16,82,190.06
12/14/2020,14-Dec-20,25,35,353,120.4
12/15/2020,15-Dec-20,20,31,171,48.19
12/16/2020,16-Dec-20,11,15,117,61.77
12/17/2020,17-Dec-20,9,14,50,50.45
12/18/2020,18-Dec-20,15,17,122,28.56
12/19/2020,19-Dec-20,10,14,88,54.15
12/20/2020,20-Dec-20,9,10,62,50.68
12/21/2020,21-Dec-20,6,8,111,185.78
12/22/2020,22-Dec-20,9,12,140,257.91
12/23/2020,23-Dec-20,6,6,36,13.58
12/24/2020,24-Dec-20,4,4,17,18.5
12/25/2020,25-Dec-20,4,9,18,7.73
12/26/2020,26-Dec-20,8,10,65,31.38
12/27/2020,27-Dec-20,4,4,20,10.45
12/28/2020,28-Dec-20,15,25,209,97.58
12/29/2020,29-Dec-20,24,90,249,63.92
12/30/2020,30-Dec-20,13,27,195,50.53
12/31/2020,31-Dec-20,8,13,42,30.94
1/1/2021,1-Jan-21,9,13,76,44.37
1/2/2021,2-Jan-21,9,13,92,89.58
1/3/2021,3-Jan-21,10,13,104,18.11
1/4/2021,4-Jan-21,17,26,180,37.54
1/5/2021,5-Jan-21,11,13,98,23.74
1/6/2021,6-Jan-21,22,26,133,89.57
1/7/2021,7-Jan-21,21,46,314,74.28
1/8/2021,8-Jan-21,17,31,117,126.25
1/9/2021,9-Jan-21,12,14,93,55.94
1/10/2021,10-Jan-21,16,24,190,144.16
1/11/2021,11-Jan-21,21,45,319,167.04
1/12/2021,12-Jan-21,33,50,287,90.31
1/13/2021,13-Jan-21,24,40,183,84.11
1/14/2021,14-Jan-21,24,43,298,243.18
1/15/2021,15-Jan-21,22,41,274,66.83
1/16/2021,16-Jan-21,18,26,121,88.16
1/17/2021,17-Jan-21,21,26,164,101.25
1/18/2021,18-Jan-21,13,19,140,110.87
1/19/2021,19-Jan-21,28,57,574,293.45
1/20/2021,20-Jan-21,11,16,137,134.99
1/21/2021,21-Jan-21,11,17,150,95.76
1/22/2021,22-Jan-21,25,41,132,148.14
1/23/2021,23-Jan-21,13,24,170,48.7
1/24/2021,24-Jan-21,15,21,141,68.83
1/25/2021,25-Jan-21,25,50,316,136.22
1/26/2021,26-Jan-21,24,61,522,339.29
1/27/2021,27-Jan-21,18,45,376,158.79
1/28/2021,28-Jan-21,20,40,331,97.07
1/29/2021,29-Jan-21,27,50,469,445.29
1/30/2021,30-Jan-21,32,60,321,190.58
1/31/2021,31-Jan-21,41,104,372,122.87
2/1/2021,1-Feb-21,29,51,271,60.39
2/2/2021,2-Feb-21,42,66,358,162
2/3/2021,3-Feb-21,18,34,334,107.18
2/4/2021,4-Feb-21,20,28,133,246.35
2/5/2021,5-Feb-21,15,26,241,153.1
2/6/2021,6-Feb-21,7,9,107,37.48
2/7/2021,7-Feb-21,14,19,123,37.37
2/8/2021,8-Feb-21,27,37,229,109.11
2/9/2021,9-Feb-21,30,55,312,228.76
2/10/2021,10-Feb-21,16,27,201,113.26
2/11/2021,11-Feb-21,23,41,380,76.69
2/12/2021,12-Feb-21,22,31,222,31.06
2/13/2021,13-Feb-21,13,15,38,14.9
2/14/2021,14-Feb-21,18,27,234,62.63
2/15/2021,15-Feb-21,17,37,270,278.8
2/16/2021,16-Feb-21,20,28,174,163.23
2/17/2021,17-Feb-21,21,28,238,130.32
2/18/2021,18-Feb-21,15,25,184,142.75
2/19/2021,19-Feb-21,27,70,465,68.15
2/20/2021,20-Feb-21,18,37,156,246.92
2/21/2021,21-Feb-21,14,19,130,34.79
2/22/2021,22-Feb-21,31,71,385,116.83
2/23/2021,23-Feb-21,25,47,269,147.17
2/24/2021,24-Feb-21,23,32,176,78.21
2/25/2021,25-Feb-21,22,36,178,74.78
2/26/2021,26-Feb-21,22,34,249,90.05
2/27/2021,27-Feb-21,8,14,67,61.37
2/28/2021,28-Feb-21,14,17,197,189.29
3/1/2021,1-Mar-21,27,44,336,164.24
3/2/2021,2-Mar-21,17,18,124,113
3/3/2021,3-Mar-21,17,30,296,351.55
3/4/2021,4-Mar-21,21,31,155,133.94
3/5/2021,5-Mar-21,18,33,296,40.09
3/6/2021,6-Mar-21,8,13,86,67.16
3/7/2021,7-Mar-21,13,17,93,42.65
3/8/2021,8-Mar-21,25,61,519,205.24
3/9/2021,9-Mar-21,41,101,766,284.2
3/10/2021,10-Mar-21,21,26,202,154.53
3/11/2021,11-Mar-21,25,40,288,199.71
3/12/2021,12-Mar-21,33,42,237,144.62
3/13/2021,13-Mar-21,13,32,207,134.7
3/14/2021,14-Mar-21,18,44,203,87.33
3/15/2021,15-Mar-21,13,25,232,88.94
3/16/2021,16-Mar-21,23,29,145,126.78
3/17/2021,17-Mar-21,71,114,699,260.89
3/18/2021,18-Mar-21,34,64,321,182.08
3/19/2021,19-Mar-21,20,29,158,299.39
3/20/2021,20-Mar-21,16,25,252,100.18
3/21/2021,21-Mar-21,14,25,127,87.47
3/22/2021,22-Mar-21,29,44,207,174.19
3/23/2021,23-Mar-21,26,58,286,136.7
3/24/2021,24-Mar-21,15,22,111,158.07
3/25/2021,25-Mar-21,13,17,170,124.38
3/26/2021,26-Mar-21,32,51,311,128.62
3/27/2021,27-Mar-21,17,28,148,356.47
3/28/2021,28-Mar-21,29,50,262,115.38
3/29/2021,29-Mar-21,27,37,211,115.45
3/30/2021,30-Mar-21,24,30,200,190.44
3/31/2021,31-Mar-21,21,37,266,309.57
4/1/2021,1-Apr-21,27,41,307,69.95
4/2/2021,2-Apr-21,23,34,141,92.21
4/3/2021,3-Apr-21,4,7,16,8.18
4/4/2021,4-Apr-21,13,15,131,180.08
4/5/2021,5-Apr-21,20,25,144,183.55
4/6/2021,6-Apr-21,24,39,251,229.77
4/7/2021,7-Apr-21,19,44,197,97.46
4/8/2021,8-Apr-21,18,32,219,59.57
4/9/2021,9-Apr-21,30,62,317,56.37
4/10/2021,10-Apr-21,20,31,178,69.58
4/11/2021,11-Apr-21,40,91,532,171.86
4/12/2021,12-Apr-21,40,68,264,418.71
4/13/2021,13-Apr-21,25,33,161,93.52
